,0
ga22,21.85714286
efw22,443.14834225000004
u22,1.0
race_Black,0.0
race_Black_,0.0
race_East_Asian,0.0
race_Mixed,0.0
race_South_Asian,0.0
race_White,1.0
BMI,26.29172382258801
age,31.36755647
height,165.0
weight_22,71.6
conception__IVF,0.0
conception__Ovulation_drugs,0.0
conception__Spontaneous,1.0
smoking_No,1.0
smoking_Smoker,0.0
sle_No,1.0
sle_SLE/APS,0.0
dm_No,1.0
dm_Type_1_DM,0.0
dm_Type_1_DM_,0.0
dm_Type_2_DM,0.0
chr_Chronic_hypertension,0.0
chr_Chronic_hypertension_,0.0
chr_No,1.0
fh_FH-PE_mother,0.0
fh_FH-PE_sister,0.0
fh_No,1.0
prev.pe_Multip-PE,0.0
prev.pe_Multip-no_PE,1.0
prev.pe_Nullip,0.0
Previous_death_Death_16-23w,0.0
Previous_death_Death_st16w,0.0
Previous_death_Death_gt24w,0.0
Previous_death_No_death,1.0
Previous_IUD_Multip-IUD,0.0
Previous_IUD_Multip-no_IUD,1.0
Previous_IUD_Nullip,0.0
interval,2.926027397
last.ga,40.0
last.bwzscore,0.0
last.bwcent,50.0
