MCDA,Week,5,10,50,90,95,Std
1,12,51,54,62,79,83.25,9.7733
1,21,283.6,299.3,370,505.2,524.2,88.9512
1,25,594.9,621.8,748,893.2,929.7,111.723
1,29,1033.5,1061,1242,1562.8,1650.4,197.8073
1,33,1558.45,1646,1933,2330.4,2376.9,333.6212
1,36.5,2106.65,2189.4,2608,2871.6,2916.7,261.1643
0,12,50,52,64,80,85.9,11.3744
0,21,327.75,344.2,424,534.4,568.35,76.9831
0,25,632.4,659.6,786,966.1,1012.5,126.1488
0,29,1057.05,1109,1328,1606.8,1693.65,224.22
0,33,1571.4,1644.7,1998.5,2380,2475.2,315.3128
0,36.5,2036.45,2152,2607,3017.6,3174.85,336.7011
